show_name,show_jpg_url,show_description,show_time,show_place,show_price
“长春融大·魔力PARK·之夜”群星演唱会,https://img.alicdn.com/bao/uploaded/i1/2251059038/O1CN011BFR4r2GdSCiWnUMu_!!0-item_pic.jpg,艺人：高进、庄心妍、薛之谦、周笔畅,2019.10.13 周日 19:00,180-1680,长春经济技术开发区体育场
2019张杰「未·LIVE」全球巡回演唱会 金华站,https://img.alicdn.com/bao/uploaded/i4/2251059038/O1CN01THg0I92GdSCYXhAOm_!!0-item_pic.jpg,艺人：张杰,2019.10.12 周六 20:00,280-1280,金华市体育中心体育场
2019超赞草莓音乐节·昆明站,https://img.alicdn.com/bao/uploaded/i3/2251059038/O1CN01OPAbMN2GdSCczfQsl_!!0-item_pic.jpg,艺人：田馥甄、新裤子、痛仰乐队,2019.11.09-11.10,220-520,昆明滇池国际会展中心
2019 王力宏“龙的传人 2060 世界巡回演唱会-贵港站,https://img.alicdn.com/bao/uploaded/i4/2251059038/O1CN01fMMDum2GdSCflH2v4_!!0-item_pic.jpg,艺人：王力宏,2019.12.14 周六 19:30,188-1288,贵港市体育中心体育场
2019陈粒“洄游”全国巡回演唱会-成都站,https://img.alicdn.com/bao/uploaded/i2/2251059038/O1CN01cZfgm52GdSCbN0Jhp_!!0-item_pic.jpg,艺人：陈粒,2019.11.09 周六 19:30,399-1099,五粮液成都金融城演艺中心
房东的猫2019“生活”演唱会-北京站,https://img.alicdn.com/bao/uploaded/i1/2251059038/O1CN01h0nAVY2GdSCbH7HwK_!!0-item_pic.jpg,艺人：房东的猫,2019.11.30 周六 19:30,180-680,北京展览馆剧场
2019年不止音乐节,https://img.alicdn.com/bao/uploaded/i3/2251059038/O1CN01rdHV2g2GdSCb5T7lv_!!0-item_pic.jpg,艺人：Carsick Cars、二手玫瑰、后海大鲨鱼、痛仰乐队、朴树,2019.10.26-10.27,290-520,杭州太子湾公园
《这！就是街舞》全国巡演修楼梯战队专场秀,https://img.alicdn.com/bao/uploaded/i2/2251059038/O1CN01DVD5OR2GdSCf1Kunt_!!0-item_pic.jpg,艺人：罗志祥,2019.10.20 周日 19:30,380-1080,黄龙体育中心(体育馆)
2019上海麦田音乐节,https://img.alicdn.com/bao/uploaded/i1/2251059038/O1CN01EOtlB02GdSCeVsyCQ_!!0-item_pic.jpg,艺人：丢火车乐队、二手玫瑰、徐秉龙、面孔乐队、Joyside、刺猬乐队、痛仰乐队、薛之谦,2019.11.02-11.03,280-450,上海国际音乐村(光明生态园内)
陈粒“洄游”全国巡回演唱会苏州站,https://img.alicdn.com/bao/uploaded/i1/2251059038/O1CN01GGRrgC2GdSCZYSAAx_!!0-item_pic.jpg,艺人：陈粒,2019.11.16 周六 19:30,380-1280,苏州市体育中心体育馆
2019上海简单生活节,https://img.alicdn.com/bao/uploaded/i1/2251059038/O1CN01RGrhtz2GdSCNVSLtS_!!0-item_pic.jpg,艺人：怪兽、刘若英、张震岳、新裤子、岑宁儿、蔡依林、鹿先森乐队,2019.10.04-10.05,320-640,上海金山城市沙滩
2019中国好声音巅峰之夜,https://img.alicdn.com/bao/uploaded/i4/2251059038/O1CN01PVpUqj2GdSCTiYqqx_!!0-item_pic.jpg,艺人：李荣浩、王力宏、庾澄庆、那英,2019.10.07 周一 19:00,280-2280,国家体育场-鸟巢
2019西安简单生活节,https://img.alicdn.com/bao/uploaded/i4/2251059038/O1CN01PZuy0J2GdSCgWT6fM_!!0-item_pic.jpg,艺人：海龟先生、张震岳、赵雷、鹿先森乐队,2019.10.19-10.20,260-520,西安曲江青年公园
王力宏“龙的传人2060”世界巡回演唱会 贵阳站,https://img.alicdn.com/bao/uploaded/i4/2251059038/O1CN01Ad8rqg2GdSCVO2CAB_!!0-item_pic.jpg,艺人：王力宏,2019.11.23 周六 19:30,280-1280,贵阳奥体中心体育场
王力宏“龙的传人2060”世界巡演绍兴站,https://img.alicdn.com/bao/uploaded/i2/2251059038/O1CN01LGgo1j2GdSCRDbH2O_!!0-item_pic.jpg,艺人：王力宏,2019.11.09 周六 19:18,280-1580,上虞体育场
中国平安“不止 是李健”世界巡回演唱会-深圳站【安可场】,https://img.alicdn.com/bao/uploaded/i1/2251059038/O1CN018RMb7s2GdSCJnHXRK_!!0-item_pic.jpg,艺人：李健,2019.11.23 周六 19:30,380-1280,华润深圳湾体育中心“春茧”体育馆
MY BEAUTIFUL LIVE 杨千嬅世界巡回演唱会-武汉站,https://img.alicdn.com/bao/uploaded/i2/2251059038/O1CN01EBA3Mh2GdSCVH8VDN_!!0-item_pic.jpg,艺人：杨千嬅,2019.11.09 周六 19:30,399-1299,光谷国际网球中心
潘玮柏创使者 Coming home 巡回演唱会2019-北京站,https://img.alicdn.com/bao/uploaded/i4/2251059038/O1CN01UH6fXN2GdSCGuhnRw_!!0-item_pic.jpg,艺人：潘玮柏,2019.10.13 周日 19:00,380-1280,凯迪拉克中心
2019 珠海沙滩音乐节,https://img.alicdn.com/bao/uploaded/i1/2251059038/O1CN01NhBKcQ2GdSCYJy2kp_!!0-item_pic.jpg,艺人：Tizzy T、GAI、花粥、陈鸿宇、莫西子诗、大头佛、艾热、vava,2019.10.19-10.20,150-480,珠海市吉大海滨泳场(城市客厅)
简弘亦“亦X不染”演唱会-广州站,https://img.alicdn.com/bao/uploaded/i1/2251059038/O1CN01TCWT3y2GdSCVSeN1T_!!0-item_pic.jpg,艺人：简弘亦,2019.10.31 周四 19:30,280-1080,广州中山纪念堂
2019仙林优你YOUNI音乐节,https://img.alicdn.com/bao/uploaded/i4/2251059038/O1CN018xHXHg2GdSCRIGLv8_!!0-item_pic.jpg,艺人：逃跑计划、莫西子诗、Mr. miss、好妹妹、朴树,2019.10.19-10.20,199-480,南京市仙林大学城羊山公园
MY BEAUTIFUL LIVE 杨千嬅世界巡回演唱会-天津站,https://img.alicdn.com/bao/uploaded/i3/2251059038/O1CN01Thmrxr2GdSCPNKxGs_!!0-item_pic.jpg,艺人：杨千嬅,2019.12.29 周日 19:30,380-1280,天津体育馆
【万有音乐系】《贰婶蔡翊昇“三十而遇“2019全国巡演》-北京站,https://img.alicdn.com/bao/uploaded/i2/2251059038/O1CN0169sJr42GdSCbfSXZQ_!!0-item_pic.jpg,艺人：蔡翊昇,2019.10.26 周六 13:30,280,疆进酒·OMNI SPACE
王力宏“龙的传人2060”世界巡回演唱会-天津站,https://img.alicdn.com/bao/uploaded/i1/2251059038/O1CN01h0bi6i2GdSC8ysj1m_!!0-item_pic.jpg,艺人：王力宏,2019.10.13 周日,299-1299,天津奥体中心体育场
花粥“两碗三百”全国巡演上海站,https://img.alicdn.com/bao/uploaded/i2/2251059038/O1CN01wZSFoO2GdSCY0QE4s_!!0-item_pic.jpg,艺人：花粥,2019.12.28 周六 19:30,260-330,Modernsky lab上海
简弘亦“亦X不染”演唱会哈尔滨站,https://img.alicdn.com/bao/uploaded/i1/2251059038/O1CN01SGkOER2GdSCcPSnb0_!!2-item_pic.png,艺人：简弘亦,2019.12.07 周六 19:00,180-1080,哈尔滨国际会展体育中心环球剧场
花粥“两碗三百”全国巡演 南京站,https://img.alicdn.com/bao/uploaded/i1/2251059038/O1CN01DOJaMJ2GdSCTv9OWn_!!0-item_pic.jpg,艺人：花粥,2019.12.24 周二 19:30,180-580,南京太阳宫
2019缘来新昌.氧气音乐节,https://img.alicdn.com/bao/uploaded/i1/2251059038/O1CN01dcsZJE2GdSCe65nJN_!!0-item_pic.jpg,艺人：逃跑计划、陈鸿宇、好妹妹,2019.10.26-10.27,180,新昌十九峰景区千丈幽谷大草坪
江小白YOLO青年文化节上海站,https://img.alicdn.com/bao/uploaded/i2/2251059038/O1CN01MiImua2GdSCRF6L15_!!0-item_pic.jpg,,2019.10.26 周六 12:00,450,上海东方绿舟
鲜氧音乐节,https://img.alicdn.com/bao/uploaded/i1/2251059038/O1CN0199N5pt2GdSCTfpxwT_!!0-item_pic.jpg,,2019.10.26-10.27,138-358,宁波江北达人村
